Simulation ID,Pattern Type,Flight Time,Distance Flown,Person Found,Estimated Position Lat,Estimated Position Lon,Actual Position Lat,Actual Position Lon,Deviation Direction,Deviation Distance,Drift Direction,Drift Speed,Time Since Contact,Distance To Shore
9,Expanding Square,213.72928588845727,2077.2928588845734,True,55.58969588224135,12.400536221940817,55.58978287087024,12.399869459314306,283,43,111,0.74200592072004,192,1.7621824648588147 km
9,Line Search,672.4855910464091,6064.855910464076,False,55.58969588224135,12.400536221940817,55.58978287087024,12.399869459314306,283,43,111,0.74200592072004,192,1.7621824648588147 km
9,Sector Search,257.7292858893766,2497.2928588937652,True,55.58969588224135,12.400536221940817,55.58978287087024,12.399869459314306,283,43,111,0.74200592072004,192,1.7621824648588147 km
9,Sector Search,257.7292858893766,2497.2928588937652,True,55.58969588224135,12.400536221940817,55.58978287087024,12.399869459314306,283,43,111,0.74200592072004,192,1.7621824648588147 km
9,Sector Search,257.7292858893766,2497.2928588937652,True,55.58969588224135,12.400536221940817,55.58978287087024,12.399869459314306,283,43,111,0.74200592072004,192,1.7621824648588147 km
0,Expanding Square,1812.0151066188882,16200.15106618894,False,55.58980322946791,12.418846476094163,55.58980322946791,12.418846476094163,38,0,193,0.5730807005951539,158,2.746807931653575 km
0,Line Search,323.003959737013,3030.0395973701307,True,55.58980322946791,12.418846476094163,55.58980322946791,12.418846476094163,38,0,193,0.5730807005951539,158,2.746807931653575 km
0,Sector Search,265.00395973674756,2610.039597367476,True,55.58980322946791,12.418846476094163,55.58980322946791,12.418846476094163,38,0,193,0.5730807005951539,158,2.746807931653575 km
0,Sector Search,265.00395973674756,2610.039597367476,True,55.58980322946791,12.418846476094163,55.58980322946791,12.418846476094163,38,0,193,0.5730807005951539,158,2.746807931653575 km
0,Sector Search,265.00395973674756,2610.039597367476,True,55.58980322946791,12.418846476094163,55.58980322946791,12.418846476094163,38,0,193,0.5730807005951539,158,2.746807931653575 km
1,Expanding Square,1812.3544588273674,16203.544588273699,False,55.5906680795193,12.412438218353781,55.59071737378325,12.4123993806315,336,6,146,0.9371785971237426,192,2.1691956189634274 km
1,Line Search,319.58481831545924,2955.8481831545937,True,55.5906680795193,12.412438218353781,55.59071737378325,12.4123993806315,336,6,146,0.9371785971237426,192,2.1691956189634274 km
1,Sector Search,243.58481831554687,2395.8481831554714,True,55.5906680795193,12.412438218353781,55.59071737378325,12.4123993806315,336,6,146,0.9371785971237426,192,2.1691956189634274 km
1,Sector Search,243.58481831554687,2395.8481831554714,True,55.5906680795193,12.412438218353781,55.59071737378325,12.4123993806315,336,6,146,0.9371785971237426,192,2.1691956189634274 km
1,Sector Search,243.58481831554687,2395.8481831554714,True,55.5906680795193,12.412438218353781,55.59071737378325,12.4123993806315,336,6,146,0.9371785971237426,192,2.1691956189634274 km
2,Expanding Square,431.06664339326,3530.6664339325994,True,55.59322554550164,12.395518428863838,55.592983641210544,12.395025960880153,229,41,272,0.9454351047042456,597,1.3375904779174148 km
2,Line Search,537.9318329042516,4719.318329042517,False,55.59322554550164,12.395518428863838,55.592983641210544,12.395025960880153,229,41,272,0.9454351047042456,597,1.3375904779174148 km
2,Sector Search,553.0666433933447,5130.6664339334475,True,55.59322554550164,12.395518428863838,55.592983641210544,12.395025960880153,229,41,272,0.9454351047042456,597,1.3375904779174148 km
2,Sector Search,553.0666433933447,5130.6664339334475,True,55.59322554550164,12.395518428863838,55.592983641210544,12.395025960880153,229,41,272,0.9454351047042456,597,1.3375904779174148 km
2,Sector Search,553.0666433933447,5130.6664339334475,True,55.59322554550164,12.395518428863838,55.592983641210544,12.395025960880153,229,41,272,0.9454351047042456,597,1.3375904779174148 km
3,Expanding Square,243.92820278107118,2219.282027810709,True,55.58860421931237,12.38706728538855,55.58861237449461,12.387273657045041,86,13,299,0.2538627730208579,325,1.4233403551600496 km
3,Line Search,644.1167713574255,5781.167713574247,False,55.58860421931237,12.38706728538855,55.58861237449461,12.387273657045041,86,13,299,0.2538627730208579,325,1.4233403551600496 km
3,Sector Search,307.92820278175844,2959.28202781758,True,55.58860421931237,12.38706728538855,55.58861237449461,12.387273657045041,86,13,299,0.2538627730208579,325,1.4233403551600496 km
3,Sector Search,307.92820278175844,2959.28202781758,True,55.58860421931237,12.38706728538855,55.58861237449461,12.387273657045041,86,13,299,0.2538627730208579,325,1.4233403551600496 km
3,Sector Search,307.92820278175844,2959.28202781758,True,55.58860421931237,12.38706728538855,55.58861237449461,12.387273657045041,86,13,299,0.2538627730208579,325,1.4233403551600496 km
4,Expanding Square,216.99999998833925,2149.9999998833932,True,55.58970825289988,12.399349651703048,55.58973468328186,12.39941402503311,54,5,167,0.9286078459293868,568,1.7678672711993497 km
4,Line Search,216.99999998833925,2149.9999998833932,True,55.58970825289988,12.399349651703048,55.58973468328186,12.39941402503311,54,5,167,0.9286078459293868,568,1.7678672711993497 km
4,Sector Search,216.99999998833925,2149.9999998833932,True,55.58970825289988,12.399349651703048,55.58973468328186,12.39941402503311,54,5,167,0.9286078459293868,568,1.7678672711993497 km
4,Sector Search,216.99999998833925,2149.9999998833932,True,55.58970825289988,12.399349651703048,55.58973468328186,12.39941402503311,54,5,167,0.9286078459293868,568,1.7678672711993497 km
4,Sector Search,216.99999998833925,2149.9999998833932,True,55.58970825289988,12.399349651703048,55.58973468328186,12.39941402503311,54,5,167,0.9286078459293868,568,1.7678672711993497 km
5,Expanding Square,167.1200112804114,1451.2001128041143,True,55.59500028686696,12.393393744510407,55.594680517027015,12.393483377525213,171,36,58,0.5783967728745946,203,1.1121162311421464 km
5,Line Search,152.1200112801852,1441.2001128018521,True,55.59500028686696,12.393393744510407,55.594680517027015,12.393483377525213,171,36,58,0.5783967728745946,203,1.1121162311421464 km
5,Sector Search,336.12001128049735,3141.2001128049724,True,55.59500028686696,12.393393744510407,55.594680517027015,12.393483377525213,171,36,58,0.5783967728745946,203,1.1121162311421464 km
5,Sector Search,336.12001128049735,3141.2001128049724,True,55.59500028686696,12.393393744510407,55.594680517027015,12.393483377525213,171,36,58,0.5783967728745946,203,1.1121162311421464 km
5,Sector Search,336.12001128049735,3141.2001128049724,True,55.59500028686696,12.393393744510407,55.594680517027015,12.393483377525213,171,36,58,0.5783967728745946,203,1.1121162311421464 km
6,Expanding Square,248.273635491227,2222.736354912269,True,55.596733517024866,12.417908482094782,55.59693136628164,12.417301967461496,300,44,57,0.6560447268380034,287,2.173963183872352 km
6,Line Search,673.7036300109496,6077.036300109482,False,55.596733517024866,12.417908482094782,55.59693136628164,12.417301967461496,300,44,57,0.6560447268380034,287,2.173963183872352 km
6,Sector Search,257.2736354920339,2492.736354920336,True,55.596733517024866,12.417908482094782,55.59693136628164,12.417301967461496,300,44,57,0.6560447268380034,287,2.173963183872352 km
6,Sector Search,257.2736354920339,2492.736354920336,True,55.596733517024866,12.417908482094782,55.59693136628164,12.417301967461496,300,44,57,0.6560447268380034,287,2.173963183872352 km
6,Sector Search,257.2736354920339,2492.736354920336,True,55.596733517024866,12.417908482094782,55.59693136628164,12.417301967461496,300,44,57,0.6560447268380034,287,2.173963183872352 km
7,Expanding Square,195.99999998787243,1939.9999998787223,True,55.591751700444355,12.401975353854196,55.591789247947894,12.40150255643897,278,30,167,0.8928243734624178,433,1.5556615778611484 km
7,Line Search,195.99999998787243,1939.9999998787223,True,55.591751700444355,12.401975353854196,55.591789247947894,12.40150255643897,278,30,167,0.8928243734624178,433,1.5556615778611484 km
7,Sector Search,195.99999998787243,1939.9999998787223,True,55.591751700444355,12.401975353854196,55.591789247947894,12.40150255643897,278,30,167,0.8928243734624178,433,1.5556615778611484 km
7,Sector Search,195.99999998787243,1939.9999998787223,True,55.591751700444355,12.401975353854196,55.591789247947894,12.40150255643897,278,30,167,0.8928243734624178,433,1.5556615778611484 km
7,Sector Search,195.99999998787243,1939.9999998787223,True,55.591751700444355,12.401975353854196,55.591789247947894,12.40150255643897,278,30,167,0.8928243734624178,433,1.5556615778611484 km
8,Expanding Square,241.46697543465672,2154.66975434657,True,55.58950955880362,12.395351610130524,55.58965587224816,12.394770086176505,294,40,260,0.10518915912756577,90,1.6760545827589928 km
8,Line Search,227.46697543435002,2154.6697543435016,True,55.58950955880362,12.395351610130524,55.58965587224816,12.394770086176505,294,40,260,0.10518915912756577,90,1.6760545827589928 km
8,Sector Search,403.4669754352328,3814.6697543523283,True,55.58950955880362,12.395351610130524,55.58965587224816,12.394770086176505,294,40,260,0.10518915912756577,90,1.6760545827589928 km
8,Sector Search,403.4669754352328,3814.6697543523283,True,55.58950955880362,12.395351610130524,55.58965587224816,12.394770086176505,294,40,260,0.10518915912756577,90,1.6760545827589928 km
8,Sector Search,403.4669754352328,3814.6697543523283,True,55.58950955880362,12.395351610130524,55.58965587224816,12.394770086176505,294,40,260,0.10518915912756577,90,1.6760545827589928 km
9,Expanding Square,1547.161786669036,13491.617866690367,True,55.59551446911587,12.390107989362846,55.59545790140716,12.389706458314512,256,26,314,0.9760574352989676,558,0.9027126183235475 km
9,Line Search,443.88559191255104,3778.855919125508,False,55.59551446911587,12.390107989362846,55.59545790140716,12.389706458314512,256,26,314,0.9760574352989676,558,0.9027126183235475 km
9,Sector Search,669.3262235155737,6213.262235155735,False,55.59551446911587,12.390107989362846,55.59545790140716,12.389706458314512,256,26,314,0.9760574352989676,558,0.9027126183235475 km
